# Copyright (C) 2009-2011, Christian Gonzalez <christiangda@gmail.com> (http://es-ve.sourceforge.net)
#
# Este listado es software libre: usted puede redistribuirlo y/o modificarlo
# conforme a los términos de la Licencia Pública General de GNU, publicada
# por la Free Software Foundation, ya sea la versión 3 de la Licencia,
# o una versión posterior (a su elección).
#
# Este listado se distribuye con el deseo que le resulte útil, pero
# SIN GARANTÍAS DE NINGÚN TIPO; ni siquiera con las garantías implícitas
# de COMERCIABILIDAD o APTITUD PARA UN PROPÓSITO DETERMINADO. Para más
# información consulte el texto de la licencia respectiva seleccionada.
#
# Debe haber recibido una copia de la Licencia Pública General de GNU junto
# con este listado. Si no es así, visite <http://www.gnu.org/licenses/>

################################################################################
# Abreviaturas
################################################################################
adj.          #adjetivo
adv.          #adverbio
al.           #alemán
Am.           #América
ár.           #árabe
Arg.          #Argentina
Bol.          #Bolivia
c. d.         #complemento directo
c. i.         #complemento indirecto
C. Rica       #Costa Rica
cap.          #capítulo
cf.           #cónfer
Col.          #Colombia
compl.        #complemento
dim.          #diminutivo
Ec.           #Ecuador
EE. UU.       #Estados Unidos
El Salv.      #El Salvador
Esp.          #España
eusk.         #euskera
fem.          #femenino
f.			  #Femenino
Filol.        #Filología
fr.           #francés
gr.           #griego
Gram.         #Gramática
Guat.         #Guatemala
Hond.         #Honduras
ingl.         #inglés
irreg.        #irregular
it.           #italiano
lat.          #latín
lat. cient.   #latín científico
lat. vulg.    #latín vulgar
Ling.         #Lingüística
loc. lat.     #locución latina
Lóg.          #Lógica
masc.         #masculino
m.			  #Masculino
Mat.          #Matemáticas
Méx.          #México
Mús.          #Música
neerl.        #neerlandés
Nic.          #Nicaragua
P. Rico       #Puerto Rico
p. us.        #poco usado
Pan.          #Panamá
Par.          #Paraguay
part.         #participio
part. lat.    #participio latino
pers.         #persona
pl.           #plural
prep.         #preposición
pret.         #pretérito
pron.         #pronunciación || pronombre
R. Dom.       #República Dominicana
superl.       #superlativo
sust.         #sustantivo
Tel.          #Telefonía
tít.          #título
Ur.           #Uruguay
v.            #véase
Ven.          #Venezuela
VV. AA.       #varios autores
